date,co2_ppm,ch4_ppb,n2o_ppb,anomaly,irradiance,co2,primary_energy_consumption,land_use_change_co2,time_since_baseline,co2_ppm_growth_rate,ch4_ppb_growth_rate,n2o_ppb_growth_rate,co2_ma_12,temp_ma_12
2016-02-01,404.25,1841.74,328.9,136.0,,,,,57.08418891170431,0.009237298714267927,0.004790066340782051,0.0026216315083524844,401.5333333333333,95.91666666666667
2016-03-01,405.06,1843.04,328.88,135.0,,,,,57.163586584531146,0.008264051376512205,0.005373147355156815,0.00256066333373961,401.81,99.16666666666667
2016-04-01,407.6,1843.74,328.88,108.0,,,,,57.24845995893224,0.010536754679558724,0.0057769413304966655,0.002744069760351131,402.16416666666663,101.91666666666667
2016-05-01,407.9,1842.15,328.91,95.0,,,,,57.3305954825462,0.00927873314363481,0.005803922425089647,0.002988442655444734,402.4766666666667,103.16666666666667
2016-06-01,406.99,1837.9,328.91,80.0,,,,,57.4154688569473,0.009975928729185846,0.005905501037157146,0.0029272754993139305,402.81166666666667,103.08333333333333
2016-07-01,404.59,1834.26,328.84,84.0,,,,,57.497604380561256,0.007796542619439073,0.005299820781655029,0.002469286345761157,403.0725,104.0
2016-08-01,402.45,1836.83,328.78,101.0,,,,,57.582477754962355,0.008368620179900255,0.004302991864228778,0.0020114592222357786,403.35083333333336,105.83333333333333
2016-09-01,401.23,1844.33,328.86,90.0,,,,,57.667351129363446,0.00857171585139005,0.004422152150353131,0.0018888618084329512,403.635,106.41666666666667
2016-10-01,401.79,1849.96,329.05,86.0,,,,,57.74948665297741,0.008281261763156023,0.004604991637161326,0.0019182753790878415,403.91,104.66666666666667
2016-11-01,403.72,1851.46,329.23,91.0,,,,,57.83436002737851,0.008619182052114871,0.003751612868249099,0.001886735035452336,404.1975,103.41666666666667
2016-12-01,404.64,1851.05,329.36,86.0,,,,,57.91649555099247,0.006416952693627742,0.0034205362273274087,0.0017945676308666059,404.41249999999997,100.83333333333333
2017-01-01,406.36,1849.74,329.47,102.0,,35974.609,157625.312,5307.768,58.001368925393564,0.00901348297867055,0.003913097751461425,0.0018244291057256667,404.715,99.5
2017-02-01,406.65,1848.49,329.52,113.0,,,,,58.08624229979466,0.005936920222634479,0.003665012433893944,0.0018850714502889332,404.915,97.58333333333333
2017-03-01,407.54,1848.24,329.54,116.0,,,,,58.16290212183436,0.006122549745716688,0.002821425470961092,0.002006810994891861,405.12166666666667,96.0
2017-04-01,409.22,1848.57,329.53,93.0,,,,,58.247775496235455,0.003974484789008859,0.00261967522535711,0.001976404767696449,405.2566666666667,94.75
2017-05-01,409.89,1847.22,329.51,91.0,,,,,58.32991101984942,0.004878646727139113,0.0027522188746844645,0.0018242072299412548,405.42249999999996,94.41666666666667
2017-06-01,409.08,1842.89,329.58,71.0,,,,,58.41478439425051,0.005135261308631511,0.002715055226073293,0.0020370314067676976,405.59666666666664,93.66666666666667
2017-07-01,407.33,1840.22,329.7,82.0,,,,,58.496919917864474,0.006772287995254533,0.003249266734268952,0.0026152536187811215,405.825,93.5
2017-08-01,405.32,1844.58,329.79,87.0,,,,,58.58179329226557,0.00713132066095179,0.004219225513520497,0.0030719630147819643,406.0641666666667,92.33333333333333
2017-09-01,403.57,1852.76,329.87,74.0,,,,,58.666666666666664,0.005832066395832669,0.004570765535451882,0.0030712157148937713,406.25916666666666,91.0
2017-10-01,403.82,1858.03,330.01,88.0,,,,,58.74880219028063,0.005052390552278574,0.004362256481221127,0.0029174897432000524,406.4283333333333,91.16666666666667
2017-11-01,405.31,1858.6,330.15,87.0,,,,,58.83367556468173,0.00393837312989187,0.003856416017629316,0.002794399052334029,406.5608333333334,90.83333333333333
2017-12-01,407.0,1856.59,330.29,93.0,,,,,58.91581108829569,0.005832344800316358,0.002992895923935146,0.0028236580034004533,406.7575,91.41666666666667
2018-01-01,408.15,1854.53,330.45,82.0,,36734.004,161806.125,4882.023,59.00068446269678,0.004404961118220196,0.0025895531263853133,0.0029744741554615928,406.9066666666667,89.75
2018-02-01,408.52,1855.08,330.6,84.0,,,,,59.08555783709788,0.004598549120865547,0.0035650720317663698,0.00327749453750914,407.0625,87.33333333333333
2018-03-01,409.59,1856.97,330.69,88.0,,,,,59.162217659137575,0.005030181086518981,0.004723412543825578,0.0034897129331794563,407.23333333333335,85.0
2018-04-01,410.45,1856.74,330.71,88.0,,,,,59.24709103353867,0.003005718195591589,0.004419632472668189,0.0035808575850453384,407.3358333333333,84.58333333333333
2018-05-01,411.44,1854.71,330.7,81.0,,,,,59.32922655715264,0.0037815023542902004,0.004054741719990096,0.003611423022062965,407.465,83.75
2018-06-01,410.99,1851.85,330.7,76.0,,,,,59.41409993155373,0.004669013395912858,0.004861928818323369,0.0033982644577947863,407.62416666666667,84.16666666666667
2018-07-01,408.9,1849.05,330.75,83.0,,,,,59.49623545516769,0.0038543686936880484,0.004798339328993206,0.0031847133757962887,407.75500000000005,84.25
2018-08-01,407.16,1851.94,330.88,78.0,,,,,59.58110882956879,0.004539623013914973,0.003990068199807073,0.003305133569847296,407.9083333333333,83.5
2018-09-01,405.71,1860.46,331.08,80.0,,,,,59.66598220396988,0.0053026736377828065,0.004155961916276318,0.0036681116803589653,408.08666666666664,84.0
2018-10-01,406.19,1865.75,331.29,101.0,,,,,59.748117727583846,0.005868951513050336,0.004154938294860688,0.0038786703433231207,408.28416666666664,85.08333333333333
2018-11-01,408.21,1866.25,331.48,83.0,,,,,59.832991101984945,0.007155017147368659,0.004116001291294635,0.004028471906709186,408.5258333333333,84.75
2018-12-01,409.27,1866.02,331.68,93.0,,,,,59.9151266255989,0.00557739557739545,0.0050792043477558835,0.004208422901086806,408.715,84.75
